user_id,user_type,first_name,last_name,email,phone_number,credit_card,exp_date,verification_code
QOD9T0ICCS,buyer,Ricky,Williams,kelli82@example.com,(460) 198-7384,3040064393663992,1982-08-19,097
TBIZ257WQA,both,Jonathan,Perkins,jessica56@example.net,(338) 767-7426,5248239677330578,2010-09-07,139
AAIFRC2R0Y,both,Dale,Thomas,adam04@example.net,(667) 415-1071,0023992619003777,2019-11-23,895
R6KLL1V0KK,both,Cynthia,Harris,cclarke@example.org,(488) 342-5676,1811684075058440,1981-09-27,553
JQQL637H2R,both,Jeremiah,Gill,lopezjohn@example.org,(979) 168-3497,7957192967736287,1981-06-14,402
LKU1J0WUH1,both,Kara,Christian,richardlara@example.net,(802) 769-8892,1510510238279976,1994-04-11,684
86P4QX1DBN,both,Brandon,Smith,fbrown@example.net,(773) 565-1441,7476237841225375,2009-06-06,139
L0LXOZT2X5,buyer,Stacey,Sawyer,lmunoz@example.org,(702) 682-7652,2593695247974261,1979-07-26,041
86D3DEKIJV,both,Ashley,Moreno,erin39@example.com,(020) 050-4419,2680865590392418,1995-02-19,776
L5UBBJ9SKB,both,Michael,Torres,sanchezmichael@example.com,(114) 074-8695,2518523422208954,2005-01-12,021
SUFCXQNM94,both,Ronald,Cross,kcline@example.org,(116) 921-8324,4266272181587524,2019-01-17,643
FDTGFKG2NL,buyer,Sylvia,Gallegos,alyssaking@example.com,(827) 906-7806,1407056901953951,1991-08-28,745
IPRWJK1YO6,both,Benjamin,Ryan,rortiz@example.com,(636) 671-1306,1927195592802711,1990-09-09,186
DPZPH7J9SD,both,Austin,Kaiser,achristensen@example.net,(240) 751-9380,7908735779866830,1981-09-02,318
U3D0ECAWTY,both,Cynthia,Banks,shawn27@example.org,(305) 371-0939,3732306111429531,1991-08-15,080
FRZBETXZ4R,buyer,Micheal,Stark,aimeeowen@example.org,(049) 576-4202,8762626970042611,1996-01-08,8348
YIYVRVZNBB,both,Jodi,Guerrero,schandler@example.org,(984) 203-2732,5582461124934970,1982-09-12,897
53AH94TKZH,both,Mark,Richardson,martin26@example.com,(782) 627-0548,1998965634989419,1999-11-19,663
4YFFB08X2D,both,Jennifer,Espinoza,tholmes@example.org,(503) 760-1280,9403611823360461,1998-05-14,163
UWOND3UBFM,buyer,Deborah,Walker,cwilliams@example.org,(186) 112-6631,9896357083046775,2013-06-02,641
CS8JXYJKCV,buyer,Donald,Myers,montgomeryjason@example.org,(484) 505-6858,5185273580226213,1970-08-16,703
26HD1ZCBEJ,buyer,Nancy,Mitchell,lorivillegas@example.com,(196) 075-3775,3612539485263837,1980-11-21,952
9WCU4R3SWL,both,Diane,West,srivers@example.net,(161) 196-2027,2872712437407836,1975-09-12,382
0Q6OGJGRRG,both,Chelsea,Moon,travis85@example.net,(309) 056-2505,9904282336247681,2010-05-19,9870
3NY81SWMBV,both,Natalie,Diaz,uponce@example.org,(206) 006-5972,9962500552599479,2010-11-13,694
